bedrooms,bathrooms,area,lot_area,tax_value,year_built,fips,date_sold
2.0,1.0,1202.0,18763.0,581000.0,1947.0,6037.0,2017-05-02
3.0,2.0,1232.0,6890.0,641638.0,1963.0,6059.0,2017-07-11
4.0,2.5,2343.0,19953.0,247316.0,1975.0,6059.0,2017-02-23
2.0,1.0,1244.0,5594.0,259652.0,1954.0,6037.0,2017-05-19
2.0,1.0,1062.0,6410.0,44060.0,1923.0,6037.0,2017-03-23
4.0,2.0,1400.0,6750.0,95490.0,1947.0,6059.0,2017-09-06
4.0,2.5,2264.0,4500.0,379400.0,1987.0,6059.0,2017-06-01
3.0,2.0,1599.0,9014.0,745583.0,1947.0,6037.0,2017-07-27
4.0,3.0,2356.0,4897.0,195532.0,1949.0,6037.0,2017-01-19
3.0,2.5,2184.0,4750.0,360020.0,1996.0,6059.0,2017-06-01
5.0,3.0,1962.0,6756.0,222273.0,1919.0,6037.0,2017-08-08
3.0,3.0,1945.0,7191.0,472081.0,1977.0,6037.0,2017-03-10
2.0,2.0,2472.0,7713.0,565814.0,1926.0,6037.0,2017-06-23
2.0,2.0,1092.0,1920.0,350261.0,1976.0,6059.0,2017-05-31
3.0,3.0,2416.0,11839.0,652384.0,1955.0,6037.0,2017-08-15
5.0,3.0,1935.0,8000.0,252556.0,1963.0,6111.0,2017-06-12
3.0,1.0,924.0,5437.0,278048.0,1924.0,6037.0,2017-01-30
3.0,1.5,1129.0,7220.0,55227.0,1955.0,6059.0,2017-05-26
2.0,1.0,770.0,1889.0,362161.0,1908.0,6037.0,2017-08-08
4.0,1.5,2003.0,7465.0,218489.0,1965.0,6111.0,2017-01-04
4.0,2.0,1638.0,7200.0,372100.0,1965.0,6059.0,2017-08-28
3.0,1.5,1203.0,7200.0,227774.0,1953.0,6059.0,2017-07-10
4.0,3.0,2114.0,17713.0,137470.0,1969.0,6037.0,2017-06-27
3.0,3.0,2988.0,6692.0,183979.0,2006.0,6037.0,2017-07-20
3.0,2.5,2024.0,4545.0,588389.0,2001.0,6059.0,2017-07-07
2.0,1.0,1116.0,6701.0,348000.0,1926.0,6037.0,2017-01-18
3.0,2.0,1630.0,6250.0,285210.0,1920.0,6037.0,2017-06-26
4.0,2.5,3166.0,19110.0,695845.0,1975.0,6059.0,2017-02-24
3.0,3.0,1701.0,5031.0,554005.0,1984.0,6037.0,2017-01-13
4.0,4.0,2792.0,11532.0,700000.0,1975.0,6037.0,2017-05-23
4.0,2.0,1556.0,22046.0,418052.0,1963.0,6059.0,2017-02-16
3.0,1.0,976.0,4000.0,68610.0,1923.0,6059.0,2017-05-26
5.0,3.0,2697.0,5693.0,744418.0,1989.0,6037.0,2017-06-29
4.0,3.0,2887.0,9728.0,867022.0,1987.0,6111.0,2017-09-10
2.0,1.0,1724.0,6500.0,317467.0,1947.0,6111.0,2017-07-24
3.0,2.0,1448.0,9183.0,458000.0,1956.0,6037.0,2017-05-02
2.0,2.5,1631.0,3500.0,815505.0,1987.0,6059.0,2017-02-27
4.0,2.0,1690.0,8900.0,83183.0,1961.0,6111.0,2017-01-04
3.0,3.0,1985.0,52475.0,702092.0,1972.0,6037.0,2017-06-22
5.0,4.0,2600.0,10878.0,151619.0,1970.0,6037.0,2017-01-08
5.0,3.0,2527.0,9100.0,667816.0,1962.0,6059.0,2017-08-25
3.0,3.0,2077.0,11527.0,404634.0,1960.0,6037.0,2017-03-16
2.0,1.0,1088.0,4959.0,79930.0,1923.0,6037.0,2017-05-18
3.0,2.0,1627.0,5604.0,376203.0,2002.0,6037.0,2017-06-05
2.0,1.0,925.0,7764.0,24799.0,1947.0,6037.0,2017-06-28
2.0,1.0,800.0,5676.0,481522.0,1924.0,6037.0,2017-05-10
3.0,3.0,2181.0,9941.0,358933.0,1976.0,6037.0,2017-05-11
4.0,2.0,1866.0,8247.0,234097.0,1953.0,6037.0,2017-07-07
3.0,2.0,2516.0,18193.0,779519.0,1956.0,6037.0,2017-09-13
3.0,1.0,935.0,5751.0,269149.0,1950.0,6037.0,2017-08-15
3.0,2.0,1466.0,6600.0,55211.0,1970.0,6059.0,2017-07-12
3.0,2.0,1805.0,7191.0,174984.0,1952.0,6037.0,2017-03-29
3.0,2.0,1236.0,11520.0,130532.0,1988.0,6037.0,2017-03-17
2.0,1.0,1146.0,5485.0,492924.0,1927.0,6037.0,2017-08-10
3.0,2.0,1336.0,5999.0,434877.0,1944.0,6037.0,2017-06-19
3.0,2.0,1517.0,7429.0,513845.0,1949.0,6037.0,2017-04-07
3.0,2.5,1889.0,5760.0,353954.0,1956.0,6059.0,2017-05-26
4.0,2.0,1552.0,5175.0,567009.0,1924.0,6037.0,2017-08-17
4.0,2.0,1248.0,6630.0,259552.0,1947.0,6037.0,2017-03-14
3.0,3.0,2644.0,87120.0,274122.0,1978.0,6111.0,2017-09-08
3.0,2.0,2056.0,8140.0,352996.0,1959.0,6059.0,2017-08-25
3.0,1.0,1190.0,8960.0,272110.0,1921.0,6037.0,2017-05-15
3.0,2.0,1191.0,7200.0,52240.0,1955.0,6059.0,2017-08-28
3.0,2.0,2143.0,9339.0,259040.0,1950.0,6037.0,2017-07-03
3.0,2.0,1399.0,9800.0,438377.0,1960.0,6059.0,2017-04-11
4.0,2.5,1868.0,6000.0,519909.0,1968.0,6059.0,2017-07-11
2.0,1.0,650.0,5200.0,489000.0,1923.0,6037.0,2017-06-23
3.0,3.0,1882.0,6501.0,489911.0,1979.0,6037.0,2017-03-28
5.0,3.0,2505.0,16589.0,275720.0,1969.0,6037.0,2017-03-17
3.0,1.0,1119.0,6530.0,133860.0,1951.0,6037.0,2017-02-14
4.0,2.0,1056.0,6094.0,242975.0,1954.0,6037.0,2017-08-23
4.0,4.0,3352.0,6891.0,697717.0,1986.0,6037.0,2017-02-02
4.0,2.0,1624.0,7709.0,312064.0,1974.0,6111.0,2017-06-09
4.0,3.0,2641.0,7534.0,723177.0,1999.0,6059.0,2017-07-18
3.0,2.0,1353.0,6600.0,373375.0,1955.0,6037.0,2017-03-13
3.0,2.0,1633.0,8473.0,109119.0,1955.0,6037.0,2017-04-10
3.0,1.0,1055.0,5608.0,166186.0,1944.0,6037.0,2017-06-15
4.0,2.0,1757.0,11900.0,400718.0,1964.0,6059.0,2017-05-31
2.0,1.0,1205.0,15278.0,66963.0,1949.0,6037.0,2017-01-12
3.0,1.0,945.0,6109.0,190655.0,1955.0,6037.0,2017-04-06
4.0,3.0,2430.0,12418.0,790000.0,1996.0,6037.0,2017-05-23
4.0,3.0,2684.0,53530.0,579008.0,1935.0,6037.0,2017-07-03
4.0,3.0,1909.0,7282.0,455000.0,1992.0,6037.0,2017-06-16
4.0,3.0,2462.0,7210.0,688000.0,1966.0,6059.0,2017-07-13
4.0,2.0,1672.0,7770.0,436897.0,1955.0,6059.0,2017-04-11
3.0,3.0,2376.0,7166.0,853000.0,1978.0,6037.0,2017-05-19
5.0,2.0,1767.0,10350.0,515000.0,1955.0,6059.0,2017-02-16
3.0,2.0,1722.0,6000.0,111484.0,1976.0,6111.0,2017-04-27
4.0,3.0,1613.0,101204.0,122920.0,1948.0,6037.0,2017-09-15
4.0,2.0,1845.0,5310.0,539878.0,1981.0,6111.0,2017-04-28
3.0,3.0,1756.0,8110.0,253705.0,1990.0,6037.0,2017-03-17
3.0,2.0,2138.0,25060.0,650000.0,1977.0,6037.0,2017-06-16
3.0,2.0,1667.0,6000.0,94536.0,1965.0,6059.0,2017-07-11
3.0,2.0,1724.0,6000.0,122538.0,1968.0,6059.0,2017-08-25
3.0,2.0,1478.0,9250.0,256389.0,1969.0,6059.0,2017-06-01
3.0,2.0,1686.0,10400.0,634429.0,1955.0,6059.0,2017-07-12
4.0,3.0,3178.0,24472.0,883071.0,1962.0,6037.0,2017-07-03
3.0,2.0,1256.0,7540.0,68113.0,1958.0,6059.0,2017-04-11
3.0,2.0,1205.0,6558.0,232847.0,1959.0,6059.0,2017-02-17
3.0,2.0,1231.0,4992.0,402597.0,1944.0,6037.0,2017-05-19
3.0,2.0,1128.0,6000.0,48567.0,1960.0,6111.0,2017-07-25
4.0,2.0,1248.0,5594.0,291782.0,1915.0,6037.0,2017-04-04
4.0,2.0,1508.0,8869.0,42611.0,1916.0,6037.0,2017-03-15
4.0,3.0,2760.0,8255.0,336500.0,2001.0,6037.0,2017-07-31
3.0,2.0,1639.0,61108.0,95429.0,1961.0,6037.0,2017-02-10
3.0,1.0,1620.0,7150.0,263566.0,1948.0,6037.0,2017-09-13
3.0,3.0,2212.0,4725.0,118364.0,1958.0,6037.0,2017-01-30
4.0,2.0,1782.0,7351.0,212119.0,1999.0,6037.0,2017-01-13
3.0,2.5,2157.0,3242.0,670927.0,2015.0,6059.0,2017-01-03
3.0,2.0,1556.0,8599.0,544108.0,1976.0,6111.0,2017-07-26
3.0,2.0,1346.0,3868.0,124029.0,1974.0,6059.0,2017-04-19
3.0,2.0,1872.0,9419.0,344886.0,1961.0,6037.0,2017-08-11
3.0,2.0,1510.0,5980.0,301376.0,1986.0,6059.0,2017-04-21
3.0,2.0,1390.0,6398.0,466000.0,1962.0,6037.0,2017-06-30
4.0,3.0,2762.0,15541.0,549532.0,1947.0,6037.0,2017-09-12
3.0,2.0,1537.0,6564.0,50276.0,1939.0,6037.0,2017-01-18
3.0,2.0,1784.0,6082.0,246978.0,1959.0,6037.0,2017-02-10
2.0,1.0,1726.0,8250.0,215706.0,1927.0,6059.0,2017-07-12
4.0,2.5,2748.0,6000.0,605611.0,1978.0,6059.0,2017-08-29
3.0,2.0,1346.0,5798.0,348291.0,1949.0,6037.0,2017-03-31
3.0,3.0,1936.0,11783.0,152244.0,1937.0,6037.0,2017-06-26
3.0,1.0,2130.0,7815.0,651000.0,1920.0,6037.0,2017-05-10
4.0,2.0,1225.0,6434.0,52141.0,1955.0,6037.0,2017-04-06
3.0,1.0,1027.0,5801.0,31845.0,1945.0,6037.0,2017-08-14
4.0,2.0,1806.0,6500.0,512202.0,1968.0,6111.0,2017-01-05
3.0,2.0,1883.0,5786.0,82378.0,1949.0,6037.0,2017-03-31
3.0,3.0,1884.0,5709.0,474187.0,1941.0,6037.0,2017-06-21
4.0,3.0,2038.0,2700.0,542821.0,1994.0,6059.0,2017-08-31
2.0,2.0,1490.0,20787.0,89732.0,1941.0,6037.0,2017-03-15
3.0,1.0,1076.0,4844.0,62486.0,1951.0,6037.0,2017-02-03
3.0,1.0,1008.0,6849.0,194734.0,1948.0,6037.0,2017-05-01
3.0,2.0,1371.0,5904.0,429000.0,1955.0,6037.0,2017-05-25
2.0,1.0,992.0,3847.0,562819.0,1929.0,6111.0,2017-09-08
4.0,1.0,1358.0,6755.0,270815.0,1910.0,6037.0,2017-08-08
4.0,2.0,1245.0,6000.0,60200.0,1962.0,6059.0,2017-04-11
2.0,1.0,825.0,6005.0,262136.0,1951.0,6037.0,2017-04-07
3.0,2.0,1441.0,7499.0,570000.0,1957.0,6037.0,2017-03-15
3.0,2.0,1120.0,7190.0,70026.0,1957.0,6037.0,2017-03-17
3.0,2.5,2902.0,44866.0,463977.0,1935.0,6111.0,2017-09-08
3.0,2.0,2019.0,108881.0,215785.0,1990.0,6037.0,2017-06-19
3.0,2.0,1812.0,9880.0,686554.0,1972.0,6059.0,2017-04-19
3.0,2.0,1375.0,7175.0,436126.0,1948.0,6059.0,2017-07-12
3.0,3.0,2085.0,4965.0,338076.0,1985.0,6037.0,2017-01-18
4.0,2.0,1152.0,5889.0,360000.0,1956.0,6037.0,2017-08-24
3.0,1.5,1600.0,6000.0,364078.0,1962.0,6059.0,2017-04-12
4.0,2.0,1554.0,7013.0,354669.0,1956.0,6037.0,2017-05-03
4.0,3.0,2368.0,9106.0,752623.0,1977.0,6037.0,2017-02-13
3.0,2.5,2061.0,4000.0,582412.0,1998.0,6059.0,2017-02-17
4.0,2.0,1926.0,6500.0,371360.0,1968.0,6111.0,2017-09-11
2.0,1.0,654.0,3374.0,99488.0,1948.0,6037.0,2017-01-11
2.0,1.0,1090.0,110927.0,48222.0,1957.0,6037.0,2017-05-04
3.0,2.0,1762.0,7866.0,672931.0,1959.0,6037.0,2017-03-14
4.0,3.0,2585.0,6000.0,696586.0,1987.0,6059.0,2017-02-26
4.0,2.0,2160.0,10873.0,596976.0,1985.0,6037.0,2017-09-12
2.0,1.0,1441.0,7267.0,434684.0,1939.0,6037.0,2017-01-27
2.0,1.0,900.0,1200.0,110674.0,1963.0,6059.0,2017-02-17
2.0,2.5,1590.0,34320.0,397886.0,1949.0,6111.0,2017-04-28
2.0,1.0,725.0,5649.0,37548.0,1953.0,6037.0,2017-01-03
2.0,2.0,1471.0,10810.0,62703.0,1960.0,6037.0,2017-07-06
3.0,3.0,2289.0,4500.0,407056.0,1986.0,6059.0,2017-06-01
4.0,3.0,2160.0,6783.0,451043.0,1989.0,6059.0,2017-06-01
4.0,2.0,1404.0,11900.0,311584.0,1965.0,6111.0,2017-07-26
3.0,2.0,1773.0,5723.0,842707.0,1955.0,6037.0,2017-08-18
2.0,1.0,1247.0,6206.0,222031.0,1941.0,6037.0,2017-02-02
3.0,2.0,1605.0,7976.0,388093.0,1980.0,6111.0,2017-01-05
3.0,2.0,1470.0,43032.0,350033.0,1959.0,6037.0,2017-04-06
3.0,2.0,1431.0,6000.0,63973.0,1962.0,6059.0,2017-08-28
3.0,1.0,1019.0,5523.0,183034.0,1952.0,6111.0,2017-01-03
3.0,2.0,1203.0,5918.0,507411.0,1948.0,6037.0,2017-02-03
2.0,1.0,1124.0,4569.0,189542.0,1903.0,6037.0,2017-01-31
3.0,1.0,1048.0,5113.0,434000.0,1958.0,6037.0,2017-08-16
3.0,2.0,1479.0,5221.0,333333.0,1960.0,6037.0,2017-08-17
2.0,1.0,810.0,6139.0,173096.0,1941.0,6037.0,2017-03-29
2.0,1.0,1007.0,5734.0,197206.0,1942.0,6037.0,2017-09-15
2.0,1.0,952.0,2550.0,698528.0,1921.0,6037.0,2017-06-21
2.0,2.0,1685.0,13956.0,378886.0,1947.0,6037.0,2017-01-30
2.0,1.0,912.0,2501.0,925000.0,1951.0,6037.0,2017-01-19
4.0,2.0,1458.0,6602.0,179482.0,1951.0,6037.0,2017-07-03
3.0,3.0,2106.0,7290.0,239677.0,1948.0,6037.0,2017-03-23
4.0,2.0,2073.0,7531.0,209308.0,1959.0,6037.0,2017-05-03
4.0,2.5,2416.0,5394.0,364184.0,1993.0,6059.0,2017-02-24
3.0,2.0,1368.0,6135.0,236560.0,1955.0,6037.0,2017-09-13
2.0,1.0,1364.0,7599.0,130427.0,1938.0,6037.0,2017-03-28
3.0,2.0,1119.0,6000.0,50938.0,1958.0,6059.0,2017-04-13
3.0,1.5,1148.0,7220.0,374948.0,1957.0,6059.0,2017-05-26
3.0,1.0,1773.0,7052.0,434036.0,1925.0,6037.0,2017-03-31
3.0,2.0,1666.0,6750.0,312191.0,1939.0,6037.0,2017-07-21
3.0,4.0,2659.0,19691.0,490381.0,1976.0,6037.0,2017-05-22
3.0,3.0,2102.0,7370.0,295895.0,1954.0,6059.0,2017-07-13
5.0,2.0,1546.0,5043.0,193722.0,1951.0,6037.0,2017-01-31
3.0,2.0,1675.0,7758.0,123147.0,1959.0,6037.0,2017-02-08
3.0,2.0,1559.0,10982.0,322176.0,1961.0,6037.0,2017-05-03
4.0,2.0,1147.0,29997.0,54000.0,1939.0,6037.0,2017-04-05
2.0,1.0,850.0,10097.0,149908.0,1950.0,6037.0,2017-05-24
2.0,2.0,1804.0,6063.0,238708.0,1955.0,6037.0,2017-08-15
2.0,1.0,1260.0,5800.0,363307.0,1908.0,6037.0,2017-05-10
3.0,1.5,1455.0,7264.0,361894.0,1955.0,6059.0,2017-05-30
3.0,1.0,1076.0,5000.0,136898.0,1950.0,6037.0,2017-02-03
3.0,1.5,1068.0,7737.0,129276.0,1966.0,6111.0,2017-01-05
4.0,3.0,2360.0,7589.0,142077.0,1955.0,6037.0,2017-03-13
3.0,2.0,1323.0,6017.0,354799.0,1955.0,6059.0,2017-05-26
3.0,1.0,1302.0,5205.0,203399.0,1951.0,6037.0,2017-03-30
3.0,1.0,1200.0,6725.0,73264.0,1950.0,6037.0,2017-01-09
2.0,1.0,1226.0,4800.0,362848.0,1924.0,6037.0,2017-03-28
2.0,2.0,1326.0,5825.0,83563.0,1952.0,6037.0,2017-05-18
3.0,3.0,2046.0,2640.0,803348.0,1972.0,6059.0,2017-08-31
4.0,3.0,2851.0,7465.0,675141.0,2011.0,6111.0,2017-04-25
5.0,3.0,3220.0,21611.0,529904.0,1979.0,6111.0,2017-04-28
3.0,2.0,1395.0,5561.0,162131.0,1954.0,6037.0,2017-05-19
4.0,3.0,2144.0,5364.0,442193.0,1988.0,6037.0,2017-09-18
3.0,2.0,1780.0,10889.0,229289.0,1957.0,6037.0,2017-07-28
4.0,3.0,2568.0,13546.0,155901.0,1963.0,6037.0,2017-07-31
3.0,2.0,1200.0,6494.0,212814.0,1972.0,6037.0,2017-05-24
3.0,3.0,1552.0,11324.0,513000.0,1956.0,6037.0,2017-05-02
5.0,2.0,1516.0,9600.0,280007.0,1963.0,6111.0,2017-03-09
3.0,2.0,1754.0,7409.0,231092.0,1950.0,6037.0,2017-06-16
